,,Male,,,,,,,,,,Female,,,,,,,,,,Total Sex,,,,,,,,,
,,Total - Highest certificate diploma or degree,Bachelor's degree,Degree in medicine dentistry veterinary medicine or optometry,Master's degree,Earned doctorate,No certificate diploma or degree,Secondary (high) school diploma or equivalency certificate,University certificate diploma or degree,Apprenticeship or trades certificate or diploma,College CEGEP or other non-university certificate or diploma,Total - Highest certificate diploma or degree,Bachelor's degree,Degree in medicine dentistry veterinary medicine or optometry,Master's degree,Earned doctorate,No certificate diploma or degree,Secondary (high) school diploma or equivalency certificate,University certificate diploma or degree,Apprenticeship or trades certificate or diploma,College CEGEP or other non-university certificate or diploma,Total - Highest certificate diploma or degree,Bachelor's degree,Degree in medicine dentistry veterinary medicine or optometry,Master's degree,Earned doctorate,No certificate diploma or degree,Secondary (high) school diploma or equivalency certificate,University certificate diploma or degree,Apprenticeship or trades certificate or diploma,College CEGEP or other non-university certificate or diploma
NOC_YEAR,NOC_CODE,G1EA1,G1EA12,G1EA14,G1EA15,G1EA16,G1EA2,G1EA4,G1EA6,G1EA8,G1EA9,G2EA1,G2EA12,G2EA14,G2EA15,G2EA16,G2EA2,G2EA4,G2EA6,G2EA8,G2EA9,G3EA1,G3EA12,G3EA14,G3EA15,G3EA16,G3EA2,G3EA4,G3EA6,G3EA8,G3EA9
2016,11,65227,71196,0,116778,0,39020,75326,88842,60129,70471,75456,86010,0,117132,0,0,40547,94868,0,55921,68524,81201,0,116950,0,38924,61499,93770,64107,58534
2016,12,132642,128246,0,151323,157263,67847,86786,142715,95760,107085,111274,117314,0,137231,139548,0,71817,130040,0,83403,122657,123372,0,144717,156449,67591,80127,137154,91667,92586
2016,13,144512,162883,0,174930,89941,78398,100884,164735,88498,103681,132809,146765,0,180841,104866,53837,101809,152334,106156,100415,141143,157194,0,175990,90062,65460,101146,160507,94806,102696
2016,14,114513,110832,0,134722,165858,0,70532,125751,110726,94981,92007,91267,0,118774,133102,68201,69710,103940,0,82111,101717,100018,353427,128081,163901,91925,70067,112139,81181,84340
2016,15,111026,141846,0,160708,0,73387,87742,144967,63606,103332,95089,125914,0,133299,0,49190,59360,125300,58184,73317,106841,136142,0,153908,0,70034,83714,139144,60672,93331
2016,16,122531,159929,0,198784,154252,66000,89654,166406,88455,105228,99210,129564,0,184283,0,53872,69330,138258,59304,85160,118972,152776,0,197954,150575,65684,86880,162423,87830,98056
2016,111,105009,104804,0,120034,161154,63640,90018,110161,62677,92850,84707,94716,0,108660,89082,75791,71585,96513,50322,71948,93897,99139,0,115445,105337,71333,74818,103225,53622,79031
2016,112,93960,100821,0,112216,0,66320,83797,104019,88397,79993,88436,91305,0,105177,0,65233,78713,93652,73493,80791,89649,93640,0,108120,135323,66271,80569,97186,84551,80551
2016,113,94489,99513,0,115132,0,86756,81008,104200,76157,90096,87679,95103,0,87516,0,79306,78811,92543,0,85002,91403,97906,0,107571,0,86725,80548,99510,76047,87102
2016,114,92226,101993,0,111191,133307,70764,70838,105830,79554,86512,75071,78477,0,104807,119731,67328,62025,86326,72927,69576,83045,89270,0,107393,133169,67409,66238,94542,74507,77419
2016,121,105496,112291,0,137437,0,60921,76493,115738,91599,91110,88818,93066,0,113953,0,68092,84052,94036,79404,76079,94993,101864,0,129339,0,68086,79296,105937,84066,82878
2016,122,99678,100384,0,127025,172320,95520,87340,109445,77602,86480,77871,83489,0,114434,0,67897,72103,87009,63095,72910,87210,92180,0,122402,134402,70147,75695,98877,73671,77080
2016,124,89910,90316,0,110359,131022,75792,80911,96318,75886,78233,77611,78924,0,90217,0,58101,72517,80757,48137,69456,82214,83441,0,99018,130715,62988,75662,86445,73616,73746
2016,125,63073,75255,0,80914,0,47699,53749,76920,52682,64415,59977,69511,0,67700,0,43043,50043,69438,60359,60735,62143,71284,0,72342,101880,46363,53185,72334,52847,63215
2016,131,99098,103219,0,121943,0,62033,87522,110687,85380,92490,88514,101262,0,93613,0,0,83431,96456,0,82508,94966,103129,0,113573,130636,62203,86775,106135,82346,90142
2016,132,79706,82518,0,84831,0,44162,77548,84148,0,77447,49600,96211,0,0,0,54801,38838,95785,0,65139,69211,82789,0,84899,0,44687,55262,84192,59015,74924
2016,211,120676,125694,0,129322,135735,0,0,125962,106564,106203,105010,107484,0,117423,0,0,0,109820,0,75398,118196,123261,0,125191,133624,0,0,123140,106829,101014
2016,212,105727,104169,0,116986,112957,0,0,109069,0,96727,95521,98141,0,92510,111400,0,0,99523,0,92193,102894,102364,0,107999,112729,0,0,105419,0,94483
2016,213,109337,113304,0,123168,134362,94243,98147,116045,98350,100204,104084,107170,0,111894,152976,82711,96998,108873,76318,97621,108297,111456,0,121159,134915,91422,97186,113306,93392,99416
2016,311,96473,94456,112642,105804,136926,0,67085,100938,81018,95131,93194,94572,98440,105730,126708,49990,59495,100255,59829,71855,93868,94543,99957,105744,128876,50161,61424,100437,69275,77053
2016,411,111796,105333,0,116421,117369,0,0,113430,0,99209,109961,102886,0,114315,115763,0,92883,113285,0,87744,110789,104475,0,115317,116039,0,92852,113318,0,95445
2016,412,109615,109651,0,113748,117697,0,101308,113100,0,96775,107095,106701,0,113666,0,0,106114,110599,0,93447,108669,108747,0,113699,117333,0,102347,111994,0,93555
2016,413,101403,82848,0,106010,0,0,0,101587,0,0,91354,99343,0,93951,0,0,0,93863,0,0,92548,87240,0,104390,0,0,0,94160,0,50883
2016,414,101961,101554,0,115108,105850,86401,88434,106970,87888,100167,98037,100516,0,102959,0,0,85710,102693,0,90262,100773,101461,0,111612,112474,80186,88337,104380,87888,97435
2016,421,94954,83360,0,101521,166304,0,55745,99452,0,77512,76766,73411,0,93917,138881,0,63917,82200,0,60050,82173,75615,0,95328,154313,0,62857,89078,0,63140
2016,422,116215,113328,0,120873,124946,0,0,116905,0,77511,112570,110674,0,116943,113248,0,0,113260,0,47156,113817,111899,0,118179,124133,0,0,114327,0,53208
2016,423,81283,81562,0,97439,0,0,70488,88039,58873,74972,70278,70815,0,91021,81582,51573,59568,77011,58326,63950,72355,72233,0,93662,81857,51666,63957,79817,58838,65690
2016,431,144029,141387,0,153156,0,0,139123,149952,0,139158,95067,97135,0,0,0,0,0,112879,0,0,140086,136417,0,154121,0,0,139123,144226,0,136581
2016,432,115768,110077,0,0,0,0,117954,128271,97304,115718,92935,0,0,0,0,0,0,123158,0,0,115054,117300,0,0,0,0,115690,124414,97304,110867
2016,433,101529,98156,220171,114649,0,0,88080,105172,93746,102557,96061,90689,0,113144,0,0,63242,99842,0,83567,100213,97265,211466,114491,0,0,83943,104408,89908,95533
2016,511,82644,77959,0,87828,0,0,59067,87140,0,68443,78648,61175,0,89644,0,0,54518,82474,0,81227,79253,68647,0,88610,0,0,59057,82904,0,80607
2016,512,79269,74538,0,108716,0,0,82960,85107,0,75005,66422,73517,0,77056,0,0,64284,73850,0,58373,71641,73787,0,91846,0,43254,68666,78087,0,68101
2016,513,60183,60082,0,79959,0,35012,56165,65056,0,62181,47280,49393,0,71821,0,37950,49799,52565,38911,41545,54721,57314,0,72429,0,35071,52120,59131,56887,53249
2016,601,107092,116261,0,117942,109678,77257,99311,115216,96778,103027,83220,95362,0,107101,0,67260,73338,95447,59334,76012,99508,108120,0,114164,108497,74959,89746,108457,84465,94068
2016,621,56391,61964,32032,62579,69404,47791,53324,61277,59855,59496,40770,46006,38564,48121,87067,35433,39579,45089,40075,41946,48721,54154,38409,58526,69446,41946,46112,53587,53911,50220
2016,631,37073,39651,0,37749,22261,28944,36898,38926,34160,40640,32722,33763,0,33878,0,28470,32501,33659,30451,34979,34887,36839,21617,36195,26093,28600,34758,36370,31487,37272
2016,632,49328,59130,0,77141,0,32268,40152,65785,44332,51801,44421,48117,0,38008,0,35248,36964,46701,42651,54155,46288,54291,0,59492,0,32996,38034,56239,42696,53732
2016,651,40144,38195,0,41502,0,29537,40681,38153,41747,49395,29958,31376,0,30036,0,21397,31658,31015,29164,29963,33998,35917,0,37460,0,26962,35862,35630,30340,35635
2016,711,76722,82853,0,88793,0,55038,66982,82499,84962,78685,60159,69351,0,82912,0,51967,50587,70507,85662,54982,74566,79886,0,88401,0,55037,64697,80179,85011,75821
